,agency,power,verb_count,av,pv
u1956,2,2,4,0.5,0.5
u1947,5,6,7,0.7142857142857143,0.8571428571428571
u1941,2,3,6,0.3333333333333333,0.5
u1951,10,9,19,0.5263157894736842,0.47368421052631576
u1948,4,6,7,0.5714285714285714,0.8571428571428571
u1946,0,0,0,,
u1955,1,0,3,0.3333333333333333,0.0
u1953,2,1,10,0.2,0.1
u1949,1,3,3,0.3333333333333333,1.0
u1943,-1,0,1,-1.0,0.0
u1944,2,1,2,1.0,0.5
u1950,-1,-1,1,-1.0,-1.0
u1971,70,98,206,0.33980582524271846,0.47572815533980584
u1957,10,8,17,0.5882352941176471,0.47058823529411764
u1958,18,14,22,0.8181818181818182,0.6363636363636364
u1959,-1,-1,6,-0.16666666666666666,-0.16666666666666666
u1960,3,2,3,1.0,0.6666666666666666
u1961,22,23,40,0.55,0.575
u1962,2,1,4,0.5,0.25
u1963,1,0,1,1.0,0.0
u1965,1,1,3,0.3333333333333333,0.3333333333333333
u1966,1,-1,3,0.3333333333333333,-0.3333333333333333
u1967,-1,-1,1,-1.0,-1.0
u1978,9,20,30,0.3,0.6666666666666666
u1969,9,10,13,0.6923076923076923,0.7692307692307693
u1973,-1,-1,1,-1.0,-1.0
u1970,0,2,2,0.0,1.0
u1979,0,3,6,0.0,0.5
u1981,4,4,17,0.23529411764705882,0.23529411764705882
u1976,3,6,8,0.375,0.75
u1983,15,38,96,0.15625,0.3958333333333333
u1991,22,11,47,0.46808510638297873,0.23404255319148937
u1995,3,6,13,0.23076923076923078,0.46153846153846156
u1989,6,7,13,0.46153846153846156,0.5384615384615384
u1986,2,2,6,0.3333333333333333,0.3333333333333333
u1998,6,8,9,0.6666666666666666,0.8888888888888888
u1993,13,12,16,0.8125,0.75
u1992,11,14,28,0.39285714285714285,0.5
u1990,2,4,7,0.2857142857142857,0.5714285714285714
u1999,-1,1,1,-1.0,1.0
u1996,9,15,28,0.32142857142857145,0.5357142857142857
u1988,4,7,14,0.2857142857142857,0.5
u2000,3,0,3,1.0,0.0
u2001,5,2,9,0.5555555555555556,0.2222222222222222
u2010,62,61,157,0.39490445859872614,0.3885350318471338
u2003,4,10,24,0.16666666666666666,0.4166666666666667
u2007,4,5,6,0.6666666666666666,0.8333333333333334
u2004,6,8,26,0.23076923076923078,0.3076923076923077
u2012,4,3,7,0.5714285714285714,0.42857142857142855
u2009,2,2,2,1.0,1.0
u2008,2,2,2,1.0,1.0
u2015,4,7,18,0.2222222222222222,0.3888888888888889
u2016,5,3,19,0.2631578947368421,0.15789473684210525
u2013,0,0,2,0.0,0.0
u2017,1,1,1,1.0,1.0
u2021,6,8,23,0.2608695652173913,0.34782608695652173
u2022,5,6,16,0.3125,0.375
u2018,8,6,12,0.6666666666666666,0.5
u2034,2,2,7,0.2857142857142857,0.2857142857142857
u2019,4,4,5,0.8,0.8
u2033,1,1,4,0.25,0.25
u2024,0,1,2,0.0,0.5
u2020,2,-1,5,0.4,-0.2
u2031,0,0,1,0.0,0.0
u2030,-2,0,4,-0.5,0.0
u2026,-3,0,5,-0.6,0.0
u2025,1,1,1,1.0,1.0
u2028,2,4,4,0.5,1.0
u2036,16,12,32,0.5,0.375
u2045,13,14,22,0.5909090909090909,0.6363636363636364
u2040,0,-2,3,0.0,-0.6666666666666666
u2042,0,4,6,0.0,0.6666666666666666
u2048,0,0,2,0.0,0.0
u2041,-2,4,13,-0.15384615384615385,0.3076923076923077
u2053,3,3,3,1.0,1.0
u2037,6,4,9,0.6666666666666666,0.4444444444444444
u2038,0,0,0,,
u2052,0,0,2,0.0,0.0
u2050,1,1,1,1.0,1.0
u2049,-1,1,1,-1.0,1.0
u2047,0,2,2,0.0,1.0
u2046,0,0,0,,
u2051,0,0,0,,
u2065,74,70,178,0.4157303370786517,0.39325842696629215
u2054,5,6,15,0.3333333333333333,0.4
u2060,33,35,66,0.5,0.5303030303030303
u2055,7,8,11,0.6363636363636364,0.7272727272727273
u2061,-8,4,24,-0.3333333333333333,0.16666666666666666
u2056,4,3,6,0.6666666666666666,0.5
u2057,2,3,7,0.2857142857142857,0.42857142857142855
u2066,6,2,7,0.8571428571428571,0.2857142857142857
u2059,-1,2,2,-0.5,1.0
u2063,1,0,1,1.0,0.0
u2064,6,6,17,0.35294117647058826,0.35294117647058826
u2068,1,6,9,0.1111111111111111,0.6666666666666666
u2070,-1,1,1,-1.0,1.0
u2072,1,0,1,1.0,0.0
u2073,3,3,5,0.6,0.6
u2069,0,0,0,,
u2078,2,2,2,1.0,1.0
u2074,2,1,2,1.0,0.5
u2075,1,3,3,0.3333333333333333,1.0
u2076,0,0,0,,
u2094,0,0,0,,
u2080,-1,-1,1,-1.0,-1.0
u2082,-1,1,1,-1.0,1.0
u2087,0,0,0,,
u2092,1,1,1,1.0,1.0
u2085,2,1,2,1.0,0.5
u2088,0,-1,1,0.0,-1.0
u2086,-1,3,3,-0.3333333333333333,1.0
u2089,1,1,1,1.0,1.0
u2090,0,0,0,,
u2107,0,0,0,,
u2095,-3,8,8,-0.375,1.0
u2105,15,14,24,0.625,0.5833333333333334
u2099,2,5,6,0.3333333333333333,0.8333333333333334
u2096,0,0,1,0.0,0.0
u2104,2,2,2,1.0,1.0
u2098,0,0,0,,
u2111,0,0,0,,
u2100,0,0,0,,
u2108,-2,2,6,-0.3333333333333333,0.3333333333333333
u2109,2,4,8,0.25,0.5
u2101,0,2,2,0.0,1.0
u2112,2,4,4,0.5,1.0
u2102,1,1,1,1.0,1.0
u2103,0,0,0,,
u2106,0,0,0,,
u2110,-1,0,1,-1.0,0.0
u2120,24,27,49,0.4897959183673469,0.5510204081632653
u2114,0,0,0,,
u2124,34,54,103,0.3300970873786408,0.5242718446601942
u2115,10,9,15,0.6666666666666666,0.6
u2123,12,12,19,0.631578947368421,0.631578947368421
u2121,9,8,18,0.5,0.4444444444444444
u2117,5,4,7,0.7142857142857143,0.5714285714285714
u2119,6,5,10,0.6,0.5
u2122,3,3,5,0.6,0.6
u2126,-3,1,3,-1.0,0.3333333333333333
u2127,-7,-2,9,-0.7777777777777778,-0.2222222222222222
u2130,0,2,6,0.0,0.3333333333333333
u2128,-4,0,6,-0.6666666666666666,0.0
u2129,0,3,3,0.0,1.0
u2138,12,19,48,0.25,0.3958333333333333
u2146,1,0,1,1.0,0.0
u2131,0,0,0,,
u2133,0,0,1,0.0,0.0
u2141,-4,0,8,-0.5,0.0
u2147,-3,8,25,-0.12,0.32
u2134,0,0,6,0.0,0.0
u2151,7,6,11,0.6363636363636364,0.5454545454545454
u2135,-1,1,1,-1.0,1.0
u2137,10,8,17,0.5882352941176471,0.47058823529411764
u2139,0,0,0,,
u2148,0,2,2,0.0,1.0
u2144,1,6,17,0.058823529411764705,0.35294117647058826
u2140,-1,0,1,-1.0,0.0
u2152,2,0,2,1.0,0.0
u2142,-2,-2,2,-1.0,-1.0
u2150,0,0,0,,
u2173,10,23,66,0.15151515151515152,0.3484848484848485
u2154,-1,1,1,-1.0,1.0
u2162,4,-2,6,0.6666666666666666,-0.3333333333333333
u2171,1,2,2,0.5,1.0
u2155,0,1,1,0.0,1.0
u2180,-1,0,2,-0.5,0.0
u2157,6,7,28,0.21428571428571427,0.25
u2175,1,0,1,1.0,0.0
u2176,1,1,4,0.25,0.25
u2163,3,2,3,1.0,0.6666666666666666
u2168,1,0,1,1.0,0.0
u2159,2,2,2,1.0,1.0
u2166,-2,-2,2,-1.0,-1.0
u2161,1,0,1,1.0,0.0
u2172,2,-1,2,1.0,-0.5
u2164,0,0,0,,
u2169,0,1,1,0.0,1.0
u2177,0,0,2,0.0,0.0
u2183,0,-1,2,0.0,-0.5
u2196,24,49,133,0.18045112781954886,0.3684210526315789
u2190,9,6,12,0.75,0.5
u2184,5,9,15,0.3333333333333333,0.6
u2185,2,5,6,0.3333333333333333,0.8333333333333334
u2187,0,1,4,0.0,0.25
u2198,0,2,3,0.0,0.6666666666666666
u2188,5,9,23,0.21739130434782608,0.391304347826087
u2189,-1,-1,1,-1.0,-1.0
u2199,7,16,45,0.15555555555555556,0.35555555555555557
u2192,4,4,14,0.2857142857142857,0.2857142857142857
u2193,0,2,6,0.0,0.3333333333333333
u2194,0,2,4,0.0,0.5
u2200,15,8,38,0.39473684210526316,0.21052631578947367
u2197,10,8,18,0.5555555555555556,0.4444444444444444
u2201,3,0,3,1.0,0.0
u2209,9,9,23,0.391304347826087,0.391304347826087
u2202,4,2,8,0.5,0.25
u2205,3,0,15,0.2,0.0
u2206,-1,-1,1,-1.0,-1.0
u2204,0,0,0,,
u2210,2,0,2,1.0,0.0
u2208,1,4,12,0.08333333333333333,0.3333333333333333
u2211,0,1,2,0.0,0.5
u2214,19,21,35,0.5428571428571428,0.6
u2212,2,3,5,0.4,0.6
u2221,9,10,17,0.5294117647058824,0.5882352941176471
u2213,3,2,6,0.5,0.3333333333333333
u2220,21,20,30,0.7,0.6666666666666666
u2215,19,13,39,0.48717948717948717,0.3333333333333333
u2216,1,1,2,0.5,0.5
u2223,3,1,8,0.375,0.125
u2218,8,1,18,0.4444444444444444,0.05555555555555555
u2217,2,2,7,0.2857142857142857,0.2857142857142857
u2222,0,0,4,0.0,0.0
u2224,-2,7,8,-0.25,0.875
u2244,-5,20,46,-0.10869565217391304,0.43478260869565216
u2229,-1,1,1,-1.0,1.0
u2236,-1,-1,1,-1.0,-1.0
u2225,-1,4,5,-0.2,0.8
u2226,0,1,1,0.0,1.0
u2238,0,3,4,0.0,0.75
u2227,-1,0,1,-1.0,0.0
u2239,-2,7,8,-0.25,0.875
u2230,-2,2,2,-1.0,1.0
u2231,0,0,2,0.0,0.0
u2247,3,3,3,1.0,1.0
u2233,1,1,1,1.0,1.0
u2249,0,0,0,,
u2234,1,6,9,0.1111111111111111,0.6666666666666666
u2235,0,2,2,0.0,1.0
u2237,-1,1,1,-1.0,1.0
u2243,-1,1,1,-1.0,1.0
u2240,5,3,11,0.45454545454545453,0.2727272727272727
u2248,-1,-1,1,-1.0,-1.0
u2241,1,0,2,0.5,0.0
u2250,0,0,0,,
u2251,0,0,0,,
u2245,1,1,1,1.0,1.0
u2252,5,5,6,0.8333333333333334,0.8333333333333334
u2253,43,46,67,0.6417910447761194,0.6865671641791045
u2267,10,12,18,0.5555555555555556,0.6666666666666666
u2255,4,6,6,0.6666666666666666,1.0
u2265,16,19,34,0.47058823529411764,0.5588235294117647
u2264,3,3,3,1.0,1.0
u2261,10,9,14,0.7142857142857143,0.6428571428571429
u2258,-1,-1,1,-1.0,-1.0
u2262,0,0,2,0.0,0.0
u2260,20,28,33,0.6060606060606061,0.8484848484848485
u2259,5,5,8,0.625,0.625
u2257,4,3,4,1.0,0.75
u2266,2,0,2,1.0,0.0
u2270,5,3,14,0.35714285714285715,0.21428571428571427
u2268,6,7,7,0.8571428571428571,1.0
u2269,1,1,2,0.5,0.5
u2271,36,57,105,0.34285714285714286,0.5428571428571428
u2273,6,11,13,0.46153846153846156,0.8461538461538461
u2274,10,5,20,0.5,0.25
u2272,19,24,36,0.5277777777777778,0.6666666666666666
u2277,-1,0,1,-1.0,0.0
u2278,-1,0,1,-1.0,0.0
u2279,2,1,2,1.0,0.5
u2289,6,5,14,0.42857142857142855,0.35714285714285715
u2280,2,2,2,1.0,1.0
u2287,5,2,7,0.7142857142857143,0.2857142857142857
u2281,0,0,0,,
u2282,-1,-1,1,-1.0,-1.0
u2291,0,2,2,0.0,1.0
u2293,-1,1,1,-1.0,1.0
u2290,-2,0,2,-1.0,0.0
u2292,0,0,0,,
u2288,-1,-1,1,-1.0,-1.0
u2299,-1,11,17,-0.058823529411764705,0.6470588235294118
u2301,4,4,7,0.5714285714285714,0.5714285714285714
u2295,0,2,6,0.0,0.3333333333333333
u2296,4,4,4,1.0,1.0
u2298,0,2,2,0.0,1.0
u2297,2,0,4,0.5,0.0
u2302,0,0,0,,
u2304,1,0,6,0.16666666666666666,0.0
u2314,18,33,116,0.15517241379310345,0.28448275862068967
u2305,2,6,8,0.25,0.75
u2310,1,4,9,0.1111111111111111,0.4444444444444444
u2312,57,55,140,0.40714285714285714,0.39285714285714285
u2306,0,1,5,0.0,0.2
u2320,11,23,36,0.3055555555555556,0.6388888888888888
u2308,2,3,4,0.5,0.75
u2309,9,13,17,0.5294117647058824,0.7647058823529411
u2315,0,1,2,0.0,0.5
u2318,2,4,9,0.2222222222222222,0.4444444444444444
u2316,-1,1,1,-1.0,1.0
u2319,0,-1,4,0.0,-0.25
u2317,0,0,0,,
u2321,1,1,1,1.0,1.0
u2322,0,0,0,,
u2340,2,37,103,0.019417475728155338,0.3592233009708738
u2323,-1,1,1,-1.0,1.0
u2332,-1,3,6,-0.16666666666666666,0.5
u2327,1,4,7,0.14285714285714285,0.5714285714285714
u2324,1,1,2,0.5,0.5
u2339,-1,4,7,-0.14285714285714285,0.5714285714285714
u2325,3,2,9,0.3333333333333333,0.2222222222222222
u2334,1,3,7,0.14285714285714285,0.42857142857142855
u2335,1,-1,3,0.3333333333333333,-0.3333333333333333
u2330,3,3,6,0.5,0.5
u2331,1,2,9,0.1111111111111111,0.2222222222222222
u2326,1,7,8,0.125,0.875
u2329,2,2,6,0.3333333333333333,0.3333333333333333
u2342,1,3,3,0.3333333333333333,1.0
u2328,-1,1,1,-1.0,1.0
u2346,-1,-1,1,-1.0,-1.0
u2333,2,4,4,0.5,1.0
u2337,0,0,2,0.0,0.0
u2336,2,2,2,1.0,1.0
u2338,0,0,0,,
u2341,-6,-5,11,-0.5454545454545454,-0.45454545454545453
u2343,1,0,2,0.5,0.0
u2347,-1,1,1,-1.0,1.0
u2349,1,-1,2,0.5,-0.5
u2355,3,2,7,0.42857142857142855,0.2857142857142857
u2350,9,12,24,0.375,0.5
u2364,2,2,2,1.0,1.0
u2351,3,5,15,0.2,0.3333333333333333
u2357,1,0,5,0.2,0.0
u2366,1,2,2,0.5,1.0
u2360,7,11,38,0.18421052631578946,0.2894736842105263
u2359,0,0,0,,
u2361,0,0,0,,
u2352,2,6,12,0.16666666666666666,0.5
u2365,-1,3,15,-0.06666666666666667,0.2
u2367,1,3,3,0.3333333333333333,1.0
u2358,1,1,1,1.0,1.0
u2363,0,-3,8,0.0,-0.375
u2353,0,0,0,,
u2354,1,1,1,1.0,1.0
u2362,2,-2,2,1.0,-1.0
u2375,-1,2,7,-0.14285714285714285,0.2857142857142857
u2368,4,14,22,0.18181818181818182,0.6363636363636364
u2369,68,100,183,0.37158469945355194,0.546448087431694
u2387,6,12,26,0.23076923076923078,0.46153846153846156
u2382,5,5,12,0.4166666666666667,0.4166666666666667
u2374,12,7,14,0.8571428571428571,0.5
u2371,52,56,104,0.5,0.5384615384615384
u2389,18,20,41,0.43902439024390244,0.4878048780487805
u2372,-2,1,2,-1.0,0.5
u2388,5,5,6,0.8333333333333334,0.8333333333333334
u2379,17,11,37,0.4594594594594595,0.2972972972972973
u2384,12,6,17,0.7058823529411765,0.35294117647058826
u2378,7,5,9,0.7777777777777778,0.5555555555555556
u2386,22,20,37,0.5945945945945946,0.5405405405405406
u2383,0,0,0,,
u2370,0,0,0,,
u2376,0,0,0,,
u2377,0,0,0,,
u2380,1,2,2,0.5,1.0
u2381,-1,1,1,-1.0,1.0
u2385,2,1,2,1.0,0.5
u2390,0,1,1,0.0,1.0
u2394,4,5,10,0.4,0.5
u2391,0,0,0,,
u2401,0,4,5,0.0,0.8
u2392,1,1,2,0.5,0.5
u2397,1,2,3,0.3333333333333333,0.6666666666666666
u2399,3,1,4,0.75,0.25
u2393,0,0,0,,
u2403,0,1,1,0.0,1.0
u2400,1,1,1,1.0,1.0
u2402,1,1,1,1.0,1.0
u2395,2,1,2,1.0,0.5
u2398,1,1,1,1.0,1.0
u2405,10,3,14,0.7142857142857143,0.21428571428571427
u2415,12,7,36,0.3333333333333333,0.19444444444444445
u2406,-1,1,3,-0.3333333333333333,0.3333333333333333
u2410,3,2,3,1.0,0.6666666666666666
u2408,-3,2,7,-0.42857142857142855,0.2857142857142857
u2414,7,-7,26,0.2692307692307692,-0.2692307692307692
u2409,2,2,2,1.0,1.0
u2412,14,9,27,0.5185185185185185,0.3333333333333333
u2411,3,9,13,0.23076923076923078,0.6923076923076923
u2413,0,2,2,0.0,1.0
u2416,40,34,65,0.6153846153846154,0.5230769230769231
u2422,24,22,36,0.6666666666666666,0.6111111111111112
u2419,14,10,24,0.5833333333333334,0.4166666666666667
u2421,55,48,103,0.5339805825242718,0.46601941747572817
u2420,5,5,5,1.0,1.0
u2418,9,8,11,0.8181818181818182,0.7272727272727273
u2423,26,34,68,0.38235294117647056,0.5
u2427,0,2,2,0.0,1.0
u2424,3,3,3,1.0,1.0
u2435,0,-1,10,0.0,-0.1
u2425,2,0,2,1.0,0.0
u2426,4,4,4,1.0,1.0
u2428,-3,0,3,-1.0,0.0
u2438,1,1,1,1.0,1.0
u2436,18,14,27,0.6666666666666666,0.5185185185185185
u2429,1,2,5,0.2,0.4
u2441,2,1,2,1.0,0.5
u2430,-1,1,5,-0.2,0.2
u2431,1,1,1,1.0,1.0
u2433,2,2,2,1.0,1.0
u2434,0,0,0,,
u2442,1,1,3,0.3333333333333333,0.3333333333333333
u2440,1,1,1,1.0,1.0
u2439,2,3,4,0.5,0.75
u2448,-2,4,14,-0.14285714285714285,0.2857142857142857
u2443,1,1,1,1.0,1.0
u2452,-2,10,17,-0.11764705882352941,0.5882352941176471
u2444,1,1,1,1.0,1.0
u2445,0,0,0,,
u2447,4,5,7,0.5714285714285714,0.7142857142857143
u2457,-3,1,3,-1.0,0.3333333333333333
u2456,0,0,0,,
u2449,1,-2,6,0.16666666666666666,-0.3333333333333333
u2450,0,0,0,,
u2453,4,3,4,1.0,0.75
u2459,-1,-2,2,-0.5,-1.0
u2460,2,10,32,0.0625,0.3125
u2462,117,111,208,0.5625,0.5336538461538461
u2464,25,22,38,0.6578947368421053,0.5789473684210527
u2461,22,29,52,0.4230769230769231,0.5576923076923077
u2463,6,4,9,0.6666666666666666,0.4444444444444444
u2470,75,97,147,0.5102040816326531,0.6598639455782312
u2465,1,1,1,1.0,1.0
u2466,21,29,40,0.525,0.725
u2476,0,0,0,,
u2467,35,26,63,0.5555555555555556,0.4126984126984127
u2473,17,14,24,0.7083333333333334,0.5833333333333334
u2469,4,3,4,1.0,0.75
u2474,4,6,8,0.5,0.75
u2468,6,3,8,0.75,0.375
u2472,2,1,5,0.4,0.2
u2471,1,3,5,0.2,0.6
u2475,11,8,17,0.6470588235294118,0.47058823529411764
u2477,10,6,14,0.7142857142857143,0.42857142857142855
u2483,1,0,2,0.5,0.0
u2484,7,11,25,0.28,0.44
u2481,3,4,11,0.2727272727272727,0.36363636363636365
u2482,2,0,5,0.4,0.0
u2480,-4,0,8,-0.5,0.0
u2478,0,2,4,0.0,0.5
u2479,-2,0,3,-0.6666666666666666,0.0
u2490,-3,5,9,-0.3333333333333333,0.5555555555555556
u2492,0,0,0,,
u2495,2,24,32,0.0625,0.75
u2485,5,1,17,0.29411764705882354,0.058823529411764705
u2494,2,1,6,0.3333333333333333,0.16666666666666666
u2489,1,-1,10,0.1,-0.1
u2486,-1,1,5,-0.2,0.2
u2487,3,-1,3,1.0,-0.3333333333333333
u2488,3,1,3,1.0,0.3333333333333333
u2491,2,4,4,0.5,1.0
u2493,0,0,0,,
u2496,33,28,58,0.5689655172413793,0.4827586206896552
u2506,36,31,69,0.5217391304347826,0.4492753623188406
u2502,108,98,178,0.6067415730337079,0.550561797752809
u2504,13,19,29,0.4482758620689655,0.6551724137931034
u2497,-2,-5,15,-0.13333333333333333,-0.3333333333333333
u2498,10,3,12,0.8333333333333334,0.25
u2499,3,2,5,0.6,0.4
u2501,2,2,3,0.6666666666666666,0.6666666666666666
u2507,26,21,31,0.8387096774193549,0.6774193548387096
u2503,5,6,13,0.38461538461538464,0.46153846153846156
u2509,2,5,8,0.25,0.625
u2511,-7,38,116,-0.0603448275862069,0.3275862068965517
u2517,1,-1,1,1.0,-1.0
u2516,3,5,14,0.21428571428571427,0.35714285714285715
u2521,-5,9,39,-0.1282051282051282,0.23076923076923078
u2526,-8,2,16,-0.5,0.125
u2527,-2,2,4,-0.5,0.5
u2522,-1,1,1,-1.0,1.0
u2524,0,2,2,0.0,1.0
u2515,3,0,6,0.5,0.0
u2528,0,1,2,0.0,0.5
u2520,0,-2,2,0.0,-1.0
u2525,0,0,0,,
u2519,-1,1,1,-1.0,1.0
u2514,0,0,2,0.0,0.0
u2518,0,0,0,,
u2529,-1,1,1,-1.0,1.0
u2531,0,0,0,,
u2538,6,11,15,0.4,0.7333333333333333
u2532,0,7,16,0.0,0.4375
u2545,0,0,0,,
u2540,0,0,0,,
u2534,1,-1,1,1.0,-1.0
u2536,0,0,0,,
u2535,0,0,0,,
u2543,0,1,1,0.0,1.0
u2539,0,0,0,,
u2541,2,2,11,0.18181818181818182,0.18181818181818182
u2557,21,18,55,0.38181818181818183,0.32727272727272727
u2546,1,6,6,0.16666666666666666,1.0
u2551,12,15,36,0.3333333333333333,0.4166666666666667
u2547,4,7,36,0.1111111111111111,0.19444444444444445
u2552,-2,-2,2,-1.0,-1.0
u2549,2,4,9,0.2222222222222222,0.4444444444444444
u2548,3,1,3,1.0,0.3333333333333333
u2554,11,11,15,0.7333333333333333,0.7333333333333333
u2550,31,22,46,0.6739130434782609,0.4782608695652174
u2555,1,0,1,1.0,0.0
u2553,0,0,0,,
u2563,92,95,207,0.4444444444444444,0.45893719806763283
u2559,-1,2,5,-0.2,0.4
u2566,8,8,12,0.6666666666666666,0.6666666666666666
u2564,50,59,91,0.5494505494505495,0.6483516483516484
u2560,0,0,4,0.0,0.0
u2562,0,0,0,,
u2567,1,-1,3,0.3333333333333333,-0.3333333333333333
u2565,1,1,1,1.0,1.0
u2568,0,0,0,,
u2569,15,22,55,0.2727272727272727,0.4
u2570,0,0,0,,
u2571,0,0,0,,
u2572,26,16,30,0.8666666666666667,0.5333333333333333
u2574,86,101,182,0.4725274725274725,0.554945054945055
u2577,1,3,3,0.3333333333333333,1.0
u2579,21,23,39,0.5384615384615384,0.5897435897435898
u2573,3,4,6,0.5,0.6666666666666666
u2578,19,14,36,0.5277777777777778,0.3888888888888889
u2575,14,41,60,0.23333333333333334,0.6833333333333333
u2580,6,9,14,0.42857142857142855,0.6428571428571429
u2588,-2,0,5,-0.4,0.0
u2582,3,1,4,0.75,0.25
u2583,25,30,56,0.44642857142857145,0.5357142857142857
u2585,44,67,128,0.34375,0.5234375
u2589,0,3,7,0.0,0.42857142857142855
u2592,15,20,52,0.28846153846153844,0.38461538461538464
u2593,6,5,6,1.0,0.8333333333333334
u2591,4,4,5,0.8,0.8
u2586,16,18,49,0.32653061224489793,0.3673469387755102
u2596,18,24,68,0.2647058823529412,0.35294117647058826
u2595,32,24,55,0.5818181818181818,0.43636363636363634
u2604,1,0,1,1.0,0.0
u2603,45,49,90,0.5,0.5444444444444444
u2600,11,10,17,0.6470588235294118,0.5882352941176471
u2599,19,18,32,0.59375,0.5625
u2597,12,12,17,0.7058823529411765,0.7058823529411765
u2606,-1,-1,1,-1.0,-1.0
u2598,7,7,12,0.5833333333333334,0.5833333333333334
u2602,6,8,18,0.3333333333333333,0.4444444444444444
u2601,0,0,0,,
u2608,2,1,2,1.0,0.5
u2609,8,9,12,0.6666666666666666,0.75
u2620,2,5,14,0.14285714285714285,0.35714285714285715
u2612,10,10,16,0.625,0.625
u2614,14,12,17,0.8235294117647058,0.7058823529411765
u2610,27,26,42,0.6428571428571429,0.6190476190476191
u2611,1,1,3,0.3333333333333333,0.3333333333333333
u2613,-1,-1,1,-1.0,-1.0
u2615,1,0,1,1.0,0.0
u2616,5,1,7,0.7142857142857143,0.14285714285714285
u2617,5,6,11,0.45454545454545453,0.5454545454545454
u2626,5,5,5,1.0,1.0
u2621,41,37,72,0.5694444444444444,0.5138888888888888
u2625,3,1,6,0.5,0.16666666666666666
u2629,63,57,93,0.6774193548387096,0.6129032258064516
u2632,55,65,108,0.5092592592592593,0.6018518518518519
u2633,9,11,24,0.375,0.4583333333333333
u2622,0,0,1,0.0,0.0
u2623,5,4,17,0.29411764705882354,0.23529411764705882
u2628,22,25,38,0.5789473684210527,0.6578947368421053
u2627,28,19,41,0.6829268292682927,0.4634146341463415
u2624,12,10,15,0.8,0.6666666666666666
u2630,15,13,18,0.8333333333333334,0.7222222222222222
u2634,3,-1,10,0.3,-0.1
u2637,4,5,26,0.15384615384615385,0.19230769230769232
u2644,2,0,2,1.0,0.0
u2635,-1,1,5,-0.2,0.2
u2645,3,3,7,0.42857142857142855,0.42857142857142855
u2636,-1,-1,3,-0.3333333333333333,-0.3333333333333333
u2647,-2,-2,2,-1.0,-1.0
u2640,6,3,8,0.75,0.375
u2638,1,1,11,0.09090909090909091,0.09090909090909091
u2642,0,0,0,,
u2646,3,3,9,0.3333333333333333,0.3333333333333333
u2639,1,0,1,1.0,0.0
u2643,-1,1,1,-1.0,1.0
u2641,0,2,3,0.0,0.6666666666666666
u2648,0,2,4,0.0,0.5
u2660,-1,0,1,-1.0,0.0
u2649,6,7,10,0.6,0.7
u2650,3,8,16,0.1875,0.5
u2661,0,0,0,,
u2657,10,9,20,0.5,0.45
u2651,15,16,23,0.6521739130434783,0.6956521739130435
u2666,2,1,2,1.0,0.5
u2656,4,3,12,0.3333333333333333,0.25
u2654,18,16,54,0.3333333333333333,0.2962962962962963
u2655,-1,0,1,-1.0,0.0
u2664,10,12,22,0.45454545454545453,0.5454545454545454
u2665,1,1,1,1.0,1.0
u2685,2,2,2,1.0,1.0
u2667,-3,0,6,-0.5,0.0
u2675,1,9,24,0.041666666666666664,0.375
u2672,1,0,10,0.1,0.0
u2678,-1,0,2,-0.5,0.0
u2674,-1,9,18,-0.05555555555555555,0.5
u2671,-2,-2,18,-0.1111111111111111,-0.1111111111111111
u2670,2,2,7,0.2857142857142857,0.2857142857142857
u2669,0,0,0,,
u2673,-1,5,24,-0.041666666666666664,0.20833333333333334
u2683,1,-1,3,0.3333333333333333,-0.3333333333333333
u2676,1,1,1,1.0,1.0
u2682,-1,2,2,-0.5,1.0
u2686,0,0,0,,
u2677,0,0,0,,
u2680,1,0,1,1.0,0.0
u2681,0,0,0,,
u2684,0,0,0,,
u2668,1,1,1,1.0,1.0
u2687,4,6,100,0.04,0.06
u2691,-3,15,53,-0.05660377358490566,0.2830188679245283
u2692,-14,20,43,-0.32558139534883723,0.46511627906976744
u2690,2,1,2,1.0,0.5
u2688,9,12,56,0.16071428571428573,0.21428571428571427
u2696,16,11,25,0.64,0.44
u2701,12,8,26,0.46153846153846156,0.3076923076923077
u2700,-1,0,1,-1.0,0.0
u2698,0,0,0,,
u2699,19,19,29,0.6551724137931034,0.6551724137931034
u2707,9,5,12,0.75,0.4166666666666667
u2703,1,1,1,1.0,1.0
u2704,21,14,35,0.6,0.4
u2710,2,2,2,1.0,1.0
u2727,0,2,2,0.0,1.0
u2720,6,8,8,0.75,1.0
u2716,3,5,10,0.3,0.5
u2711,2,1,5,0.4,0.2
u2723,0,0,1,0.0,0.0
u2712,-4,-1,4,-1.0,-0.25
u2715,3,1,3,1.0,0.3333333333333333
u2714,1,1,1,1.0,1.0
u2722,-1,1,1,-1.0,1.0
u2718,1,1,2,0.5,0.5
u2721,0,0,0,,
u2735,56,60,129,0.43410852713178294,0.46511627906976744
u2731,2,3,5,0.4,0.6
u2736,2,2,2,1.0,1.0
u2732,3,-1,3,1.0,-0.3333333333333333
u2738,87,94,175,0.49714285714285716,0.5371428571428571
u2734,7,8,14,0.5,0.5714285714285714
u2739,0,1,2,0.0,0.5
u2741,14,19,25,0.56,0.76
u2742,2,4,4,0.5,1.0
u2737,9,20,43,0.20930232558139536,0.46511627906976744
u2743,9,13,19,0.47368421052631576,0.6842105263157895
